1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,942,1,0,237,0,1,374,1,1,419,1,0,79,0,0,695,0,1,833,1,1,667,1,0,408,0,0,734,0,1,482,1,1,891,1,1,912,1,0,149,0,1,347,1,1,202,1,0,218,0,1,585,1,0,18,0,1,230,1,1,264,1,1,802,1,0,157,0,0,652,0,0,849,0,1,448,1,0,996,0,1,173,1,0,25,0,0,717,0,0,299,0,1,973,1,1,598,1,1,95,1,0,31,0,0,332,0,0,273,0,1,499,1,1,219,1,0,148,0,
1,746,1,1,280,1,1,514,1,1,995,1,0,16,0,0,760,0,0,931,0,1,333,1,1,372,1,0,76,0,1,428,1,1,123,1,1,486,1,0,623,0,1,681,1,0,767,0,1,162,1,1,551,1,0,169,0,0,74,0,1,52,1,0,994,0,1,213,1,1,851,1,0,817,0,0,707,0,0,631,0,1,669,1,0,128,0,1,331,1,1,360,1,1,651,1,1,550,1,0,170,0,1,1000,1,0,3,0,1,210,1,0,591,0,1,988,1,1,438,1,
1,244,1,0,280,0,0,578,0,1,954,1,1,151,1,1,506,1,0,991,0,0,737,0,1,622,1,1,692,1,1,337,1,1,998,1,0,208,0,1,257,1,0,696,0,1,899,1,1,566,1,1,580,1,1,638,1,1,232,1,1,730,1,1,317,1,0,792,0,1,325,1,0,988,0,1,415,1,0,754,0,1,852,1,1,669,1,1,650,1,0,514,0,0,331,0,0,591,0,1,577,1,1,803,1,1,381,1,0,955,0,1,128,1,0,463,0,0,428,0,
1,473,1,1,668,1,1,478,1,1,899,1,1,954,1,1,578,1,1,280,1,1,514,1,0,995,0,1,669,1,1,333,1,1,931,1,1,16,1,1,760,1,1,486,1,1,623,1,0,169,0,0,76,0,0,681,0,1,123,1,1,994,1,0,767,0,0,551,0,0,74,0,1,372,1,1,162,1,1,224,1,1,150,1,1,90,1,1,293,1,0,896,0,1,170,1,1,544,1,0,642,0,1,719,1,1,630,1,0,242,0,0,371,0,0,797,0,0,550,0,
0,575,0,1,157,1,0,668,0,1,98,1,0,722,0,1,656,1,0,727,0,1,996,1,1,905,1,0,478,0,0,919,0,1,139,1,0,407,0,0,476,0,0,217,0,1,329,1,1,950,1,1,899,1,0,446,0,0,397,0,0,166,0,1,510,1,1,662,1,0,531,0,1,515,1,0,622,0,0,247,0,1,221,1,1,77,1,1,119,1,0,566,0,0,868,0,1,586,1,0,168,0,1,439,1,1,404,1,0,969,0,0,687,0,1,39,1,1,808,1,
1,713,1,0,419,0,0,374,0,1,909,1,1,499,1,1,347,1,0,299,0,1,598,1,0,833,0,0,308,0,0,44,0,1,530,1,1,973,1,0,469,0,1,50,1,1,336,1,1,494,1,0,526,0,1,779,1,1,636,1,0,482,0,1,984,1,1,202,1,1,95,1,1,230,1,0,912,0,0,219,0,0,585,0,1,12,1,0,18,0,1,891,1,1,173,1,0,264,0,1,503,1,0,667,0,0,318,0,0,55,0,0,233,0,0,884,0,1,234,1,
0,536,0,0,157,0,0,419,0,0,374,0,0,909,0,1,352,1,0,336,0,0,636,0,1,540,1,1,779,1,1,50,1,0,530,0,0,234,0,1,529,1,1,414,1,0,499,0,1,840,1,1,205,1,1,226,1,0,494,0,0,308,0,1,469,1,1,243,1,0,233,0,1,607,1,0,884,0,0,236,0,1,384,1,0,55,0,0,505,0,1,12,1,1,44,1,1,299,1,1,598,1,0,347,0,0,271,0,0,984,0,0,526,0,0,484,0,1,976,1,
1,212,1,1,280,1,0,514,0,1,578,1,0,669,0,1,232,1,1,988,1,0,331,0,0,991,0,1,337,1,1,650,1,1,754,1,1,591,1,0,428,0,1,128,1,1,852,1,0,333,0,1,955,1,0,372,0,0,317,0,0,210,0,1,737,1,1,506,1,1,638,1,1,415,1,1,817,1,1,463,1,1,381,1,1,792,1,0,931,0,1,730,1,0,995,0,1,532,1,1,816,1,1,84,1,0,162,0,1,705,1,0,420,0,1,577,1,0,246,0,
0,452,0,0,157,0,0,419,0,0,374,0,0,909,0,0,352,0,0,971,0,1,935,1,0,784,0,0,409,0,0,800,0,1,853,1,1,605,1,1,91,1,0,743,0,0,616,0,0,94,0,1,279,1,1,735,1,0,269,0,0,584,0,0,572,0,1,794,1,0,898,0,0,488,0,0,844,0,1,427,1,0,93,0,1,782,1,1,403,1,0,708,0,1,538,1,1,968,1,1,664,1,0,742,0,1,859,1,1,72,1,0,86,0,1,963,1,0,976,0,
0,149,0,1,374,1,1,419,1,0,237,0,0,833,0,1,667,1,1,695,1,0,79,0,1,408,1,0,734,0,1,482,1,1,891,1,0,218,0,0,912,0,1,347,1,0,202,0,1,585,1,1,18,1,1,230,1,0,264,0,1,299,1,0,849,0,0,173,0,1,973,1,1,598,1,0,95,0,0,499,0,0,909,0,1,308,1,1,44,1,0,526,0,1,219,1,1,984,1,0,318,0,1,469,1,1,24,1,1,942,1,1,503,1,0,332,0,0,483,0,
1,940,1,1,578,1,1,280,1,1,514,1,1,995,1,0,16,0,1,760,1,1,486,1,1,76,1,1,623,1,1,169,1,1,681,1,0,642,0,0,994,0,1,123,1,1,90,1,0,544,0,0,293,0,0,150,0,1,767,1,1,224,1,0,630,0,1,551,1,0,74,0,0,896,0,0,931,0,1,170,1,1,719,1,1,242,1,0,371,0,0,797,0,1,550,1,1,851,1,1,897,1,0,330,0,0,3,0,0,213,0,1,162,1,0,660,0,1,372,1,
1,866,1,1,668,1,1,478,1,1,899,1,1,954,1,0,578,0,1,622,1,0,151,0,1,692,1,1,257,1,0,506,0,1,696,1,1,737,1,1,337,1,1,991,1,0,280,0,1,998,1,1,232,1,1,638,1,1,208,1,0,988,0,1,317,1,0,669,0,1,730,1,1,754,1,0,650,0,0,852,0,1,792,1,1,415,1,0,514,0,0,331,0,0,325,0,0,580,0,1,803,1,1,577,1,0,591,0,0,381,0,1,566,1,1,108,1,1,687,1,
