1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
-1.543,-0.995,-1.545,-1.154,-0.996,-1.113,-1.493,-1.324,-1.262,-1.127,-1.635,-1.579,-1.685,-1.02,-1.993,-1.75,-0.812,-1.678,-1.673,-1.758,-1.701,-0.792,-0.542,-0.872,-1.324,-1.01,-0.677,-1.786,-0.866,-0.778,-2.16,-2.085,-2.183,-1.975,-0.926,-1.512,-1.202,-2.317,-2.1,-0.778,
-0.634,2.091,2.353,3.057,3.395,3.329,2.998,2.722,2.732,3.487,2.423,3.371,3.648,3.641,3.598,3.519,2.848,3.51,4.01,3.5,2.838,3.873,2.96,3.087,2.509,2.917,2.778,2.248,2.3,2.23,2.902,2.777,3.303,3.481,2.81,3.232,2.281,2.198,2.138,2.886,
1.373,2.091,1.651,1.018,1.198,1.367,1.712,1.37,0.797,0.992,1.504,1.152,1.277,0.893,0.992,0.665,0.747,0.973,1.468,1.865,1.447,1.732,1.541,1.133,2.138,1.67,1.955,1.918,2.248,2.093,2.353,2.23,2.198,1.606,1.251,1.873,2.13,2.3,1.967,2.423,
-0.743,0.153,0.476,0.665,1.018,1.651,2.091,2.353,3.057,2.248,2.722,2.998,3.395,3.329,3.648,3.641,4.01,3.487,3.598,3.371,3.873,3.519,3.51,3.5,2.732,2.848,3.859,3.953,4.14,4.135,3.837,3.481,4.398,4.53,4.129,4.451,4.002,4.141,4.057,3.303,
0.138,-0.542,0.153,-0.032,0.042,-0.111,-0.069,-0.677,0.318,0.476,0.448,0.442,0.504,0.409,0.56,-0.447,0.225,0.665,0.544,0.375,0.171,-0.165,0.26,0.482,0.154,0.797,0.311,-0.67,-0.567,-0.15,0.747,0.47,0.403,0.459,0.056,0.551,-0.142,0.749,-0.296,0.034,
-1.95,-1.154,-1.545,-2.315,-2.317,-1.993,-2.16,-2.183,-1.493,-2.42,-2.333,-2.741,-2.085,-2.577,-2.838,-2.867,-2.695,-2.233,-2.935,-2.955,-1.635,-2.315,-1.75,-1.975,-1.758,-1.685,-2.1,-1.678,-2.609,-1.673,-1.579,-1.786,-1.701,-2.189,-1.324,-2.084,-2.688,-2.742,-2.807,-3.07,
1.392,-0.542,-1.154,-1.545,-2.315,-3.177,-2.867,-2.955,-3.11,-2.935,-2.838,-2.741,-3.07,-3.169,-3.092,-2.317,-3.355,-3.493,-3.259,-2.695,-2.42,-2.577,-3.09,-2.742,-3.363,-2.807,-2.904,-3.149,-2.688,-3.226,-2.609,-2.333,-2.16,-2.183,-1.993,-3.247,-2.315,-2.233,-2.932,-3.874,
0.798,2.091,2.353,1.651,2.248,1.865,2.138,2.23,1.712,1.504,2.093,1.955,2.198,2.423,2.3,1.918,2.722,2.13,2.732,1.732,2.281,1.37,1.367,1.468,1.67,2.509,1.967,1.873,1.541,2.998,1.447,3.057,1.885,1.826,2.271,2.848,1.759,2.048,1.606,2.077,
0.678,-0.542,-1.154,-1.545,-2.315,-3.177,-3.949,-4.677,-4.218,-4.661,-5.262,-5.514,-5.313,-5.366,-4.861,-5.358,-4.413,-4.585,-4.356,-4.201,-5.458,-4.592,-5.281,-4.07,-5.006,-4.826,-5.822,-6.476,-6.387,-5.654,-4.336,-6.603,-4.396,-4.226,-4.642,-5.428,-5.92,-3.919,-4.579,-3.874,
-1.02,-1.545,-1.154,-0.995,-1.493,-1.324,-1.113,-0.996,-1.262,-1.127,-1.635,-1.579,-0.812,-1.685,-1.993,-1.75,-1.678,-1.673,-1.758,-1.701,-2.16,-1.324,-1.786,-2.085,-2.183,-1.975,-2.317,-2.315,-2.42,-2.333,-2.233,-2.1,-2.315,-2.084,-2.577,-1.987,-1.543,-2.189,-1.512,-1.907,
-1.402,1.651,2.091,2.353,3.057,3.395,3.329,3.648,3.487,3.641,4.01,3.598,4.53,3.873,3.371,4.14,4.398,4.135,3.953,3.519,3.859,4.451,3.51,3.5,3.837,2.998,3.481,4.129,4.002,4.141,4.057,3.303,3.087,4.474,4.187,3.232,2.96,2.848,3.478,2.732,
-1.931,0.153,0.476,0.665,1.018,1.651,0.797,1.198,0.992,0.893,1.367,0.992,1.37,1.504,1.712,2.091,1.152,1.865,1.468,1.277,2.138,1.732,2.248,1.447,1.955,2.093,1.918,1.541,1.67,2.353,2.23,1.133,0.973,1.251,1.606,2.198,1.873,0.747,0.894,0.749,
-0.677,-1.545,-2.315,-3.177,-3.949,-4.677,-4.218,-4.661,-5.262,-5.514,-5.313,-5.366,-5.358,-4.861,-6.476,-5.458,-4.585,-4.413,-6.603,-5.281,-4.356,-4.201,-5.006,-4.592,-5.822,-4.826,-5.654,-6.387,-5.92,-4.336,-4.07,-4.226,-4.396,-4.642,-5.428,-4.579,-5.383,-4.538,-6.029,-3.919,
-0.688,0.153,0.476,0.665,1.018,1.651,0.797,1.198,1.367,2.091,1.712,1.865,2.248,2.138,2.353,2.23,2.093,2.423,2.198,1.955,2.3,1.918,1.504,1.732,2.13,1.37,1.468,2.281,2.722,1.67,2.732,2.509,1.967,1.541,1.873,1.447,1.606,1.885,1.277,1.759,
0.322,1.018,0.476,0.153,0.448,0.504,0.442,0.042,0.56,-0.032,0.665,0.318,0.409,0.544,0.797,0.747,-0.069,-0.111,0.375,0.225,0.171,-0.542,0.482,0.26,0.47,0.311,0.154,0.749,0.459,0.551,0.893,0.403,-0.165,-0.447,-0.15,0.662,0.056,-0.142,0.74,0.034,
-1.772,-8.063,-7.469,-6.906,-6.603,-5.514,-4.677,-4.218,-3.949,-3.177,-2.315,-2.317,-1.545,-1.154,-0.995,-0.542,0.153,0.476,0.665,0.448,0.504,0.442,0.042,0.56,-0.032,0.318,0.409,0.544,0.797,-0.069,-0.111,0.225,0.375,0.171,0.747,0.482,0.26,-0.447,0.47,0.311,
1.265,-0.542,-1.154,-1.545,-2.315,-3.177,-2.867,-2.317,-2.741,-2.838,-2.935,-2.955,-3.07,-3.11,-2.42,-2.16,-2.695,-2.577,-2.333,-3.169,-2.183,-1.993,-2.085,-3.092,-2.609,-2.742,-2.233,-2.688,-2.807,-2.315,-2.904,-3.259,-3.09,-2.1,-3.355,-2.539,-2.393,-3.149,-3.493,-3.363,
1.265,2.353,3.057,3.395,3.648,4.01,4.53,5.27,4.822,4.398,4.451,3.641,3.873,4.14,3.598,4.135,3.953,4.474,3.859,4.129,4.992,3.487,3.837,3.329,3.371,3.519,4.141,3.51,3.5,4.002,4.057,4.262,4.187,4.295,3.481,4.331,3.678,3.303,3.478,4.145,
-1.574,3.395,3.648,4.01,4.53,5.27,4.822,5.578,5.92,5.536,4.992,5.747,4.451,4.398,4.474,4.812,4.14,4.135,4.901,4.655,4.129,4.64,4.617,4.262,4.295,4.141,3.953,3.873,4.057,4.187,4.002,3.859,4.331,4.665,3.837,4.535,4.145,5.146,4.914,3.641,
-0.213,0.476,0.153,0.448,0.042,-0.032,-0.542,-0.111,0.442,-0.069,0.318,-0.677,-0.447,0.504,0.409,0.56,0.225,-0.67,-0.567,0.171,-0.165,0.375,-0.812,0.544,-0.792,-0.15,0.665,-0.778,-0.778,-0.516,-0.995,-0.996,-0.872,-0.488,0.26,0.154,-0.142,0.311,-0.296,-0.866,
